lam flux_nu eflux_nu eflux_nu_lines eflux_nu_spread
3770.000000000 -0.024234394 0.059856368 0.059856368 0.338598747
3780.000000000 -0.008497610 0.066039338 0.066039338 0.373574912
3790.000000000 0.005674197 0.073013469 0.073013469 0.419430447
3800.000000000 -0.004406951 0.081054459 0.081054459 0.465622417
3810.000000000 0.004251043 0.096091638 0.096091638 0.552004434
3820.000000000 0.048398599 0.073997483 0.073997483 0.425083180
3830.000000000 0.125565262 0.080708675 0.080708675 0.463636038
3840.000000000 0.117694548 0.069224068 0.069224068 0.403642209
3850.000000000 0.070459290 0.073776377 0.073776377 0.430186503
3860.000000000 0.015658950 0.082513977 0.082513977 0.481135029
3870.000000000 0.001103922 0.079314056 0.079314056 0.469228282
3880.000000000 0.002430694 0.070279974 0.070279974 0.415781932
3890.000000000 -0.035765010 0.064245574 0.064245574 0.385473443
3900.000000000 -0.034382955 0.057142130 0.057142130 0.342852783
3910.000000000 -0.003126061 0.065757327 0.065757327 0.394543960
3920.000000000 0.004251043 0.073084347 0.073084347 0.444554729
3930.000000000 0.037417814 0.067568065 0.067568065 0.421962431
3940.000000000 0.045758253 0.068928356 0.068928356 0.430457448
3950.000000000 0.004251043 0.054444446 0.054444446 0.340005454
3960.000000000 0.003700426 0.060408897 0.060408897 0.377253439
3970.000000000 -0.005127537 0.052716631 0.052716631 0.337551140
3980.000000000 -0.017171598 0.054031379 0.054031379 0.345969633
3990.000000000 -0.033835763 0.055610073 0.055610073 0.360394461
4000.000000000 -0.083824297 0.070137913 0.070137913 0.454545630
4010.000000000 -0.034272998 0.066381562 0.066381562 0.435293010
4020.000000000 -0.017171598 0.063645729 0.063645729 0.417352956
